Czas(s),EKG_Surowe(mV),PPG_Surowe(ADC)
3.524,1.317,3137
3.528,1.055,3137
3.532,0.667,3137
3.536,0.195,3137
3.540,-0.292,3137
3.544,-0.815,3137
3.548,-1.302,3137
3.552,-1.698,3139
3.556,-1.938,3139
3.560,-2.013,3139
3.564,-1.930,3139
3.568,-1.675,3139
3.572,-1.300,3139
3.576,-0.828,3139
3.580,-0.338,3139
3.584,0.177,3139
3.588,0.637,3139
3.592,1.052,3150
3.596,1.300,3150
3.600,1.255,3150
3.604,1.028,3150
3.608,0.632,3150
3.612,0.177,3150
3.616,-0.328,3150
3.620,-0.833,3150
3.624,-1.323,3150
3.628,-1.702,3123
3.632,-1.950,3123
3.636,-2.027,3123
3.640,-1.942,3123
3.644,-1.688,3123
3.648,-1.295,3123
3.652,-0.818,3123
3.656,-0.290,3123
3.660,0.185,3123
3.664,0.670,3123
3.668,1.058,3104
3.672,1.302,3104
3.676,1.385,3104
3.680,0.573,3104
3.684,-0.367,3104
3.688,-0.828,3104
3.692,-1.312,3104
3.696,-1.702,3095
3.700,-1.950,3095
3.704,-2.030,3095
3.708,-1.945,3095
3.712,-1.700,3095
3.716,-1.312,3095
3.720,-0.843,3095
3.724,-0.343,3095
3.728,0.170,3095
3.732,0.635,3095
3.736,1.032,3118
3.740,1.268,3118
3.744,1.357,3118
3.748,1.268,3118
3.752,1.018,3118
3.756,0.627,3118
3.760,-0.417,3118
3.764,-0.848,3118
3.768,-1.327,3118
3.772,-1.708,3119
3.776,-1.952,3119
3.780,-2.033,3119
3.784,-1.952,3119
3.788,-1.698,3119
3.792,-1.310,3119
3.796,-0.833,3119
3.800,-0.347,3119
3.804,0.158,3119
3.808,0.630,3119
3.812,1.032,3116
3.816,1.272,3116
3.820,1.375,3116
3.824,1.272,3116
3.828,1.028,3116
3.832,0.625,3116
3.836,0.172,3116
3.840,-0.912,3116
3.844,-1.323,3116
3.848,-1.708,3129
3.852,-1.955,3129
3.856,-2.042,3129
3.860,-1.960,3129
3.864,-1.708,3129
3.868,-1.325,3129
3.872,-0.848,3129
3.876,-0.352,3129
3.880,0.152,3129
3.884,0.637,3129
3.888,1.032,3125
3.892,1.292,3125
3.896,1.373,3125
3.900,1.298,3125
3.904,1.038,3125
3.908,0.657,3125
3.912,0.190,3125
3.916,-0.297,3125
3.920,-1.423,3125
3.924,-1.695,3121
3.928,-2.018,3121
3.932,-1.948,3121
3.936,-1.700,3121
3.940,-1.325,3121
3.944,-0.853,3121
3.948,-0.367,3121
3.952,0.138,3121
3.956,0.613,3121
3.960,1.012,3121
3.964,1.255,3158
3.968,1.357,3158
3.972,1.268,3158
3.976,1.032,3158
3.980,0.660,3158
3.984,0.193,3158
3.988,-0.295,3158
3.992,-0.810,3158
