Czas(s),PPG_Surowe(ADC)
2.744,-18102
2.748,-18102
2.752,-18102
2.756,-18102
2.760,-18102
2.764,-18102
2.768,-18102
2.772,-18102
2.776,-18102
2.780,-18124
2.784,-18124
2.788,-18124
2.792,-18124
2.796,-18124
2.800,-18124
2.804,-18124
2.808,-18124
2.812,-18124
2.816,-18208
2.820,-18208
2.824,-18208
2.828,-18208
2.832,-18208
2.836,-18208
2.840,-18208
2.844,-18208
2.848,-18208
2.852,-18208
2.856,-18208
2.860,-18252
2.864,-18252
2.868,-18252
2.872,-18252
2.876,-18252
2.880,-18252
2.884,-18252
2.888,-18252
2.892,-18252
2.896,-18317
2.900,-18317
2.904,-18317
2.908,-18317
2.912,-18317
2.916,-18317
2.920,-18317
2.924,-18317
2.928,-18317
2.932,-18317
2.936,-18366
2.940,-18366
2.944,-18366
2.948,-18366
2.952,-18366
2.956,-18366
2.960,-18366
2.964,-18366
2.968,-18366
2.972,-18468
2.976,-18468
2.980,-18468
2.984,-18468
2.988,-18468
2.992,-18468
2.996,-18468
3.000,-18468
3.004,-18468
3.008,-18468
3.012,-18513
3.016,-18513
3.020,-18513
3.024,-18513
3.028,-18513
3.032,-18513
3.036,-18513
3.040,-18513
3.044,-18513
3.048,-18544
3.052,-18544
3.056,-18544
3.060,-18544
3.064,-18544
3.068,-18544
3.072,-18544
3.076,-18544
3.080,-18544
3.084,-18544
3.088,-18565
3.092,-18565
3.096,-18565
3.100,-18565
3.104,-18565
3.108,-18565
3.112,-18565
3.116,-18565
3.120,-18565
3.124,-18587
3.128,-18587
3.132,-18587
3.136,-18587
3.140,-18587
3.144,-18587
3.148,-18587
3.152,-18587
3.156,-18587
3.160,-18587
3.164,-18595
3.168,-18595
3.172,-18595
3.176,-18595
3.180,-18595
3.184,-18595
3.188,-18595
3.192,-18595
3.196,-18595
3.200,-18607
3.204,-18607
3.208,-18607
3.212,-18607
3.216,-18607
3.220,-18607
3.224,-18607
3.228,-18607
3.232,-18607
3.236,-18607
3.240,-18626
3.244,-18626
3.248,-18626
3.252,-18626
3.256,-18626
3.260,-18626
3.264,-18626
3.268,-18626
3.272,-18626
3.276,-18626
3.280,-18639
3.284,-18639
3.288,-18639
3.292,-18639
3.296,-18639
3.300,-18639
3.304,-18639
3.308,-18639
3.312,-18639
3.316,-18647
3.320,-18647
3.324,-18647
3.328,-18647
3.332,-18647
3.336,-18647
3.340,-18647
3.344,-18647
3.348,-18647
3.352,-18647
3.356,-18661
3.360,-18661
3.364,-18661
3.368,-18661
3.372,-18661
3.376,-18661
3.380,-18661
3.384,-18661
3.388,-18661
3.392,-18644
3.396,-18644
3.400,-18644
3.404,-18644
3.408,-18644
3.412,-18644
3.416,-18644
3.420,-18644
3.424,-18644
3.428,-18644
3.432,-18676
3.436,-18676
3.440,-18676
3.444,-18676
3.448,-18676
3.452,-18676
3.456,-18676
3.460,-18676
3.464,-18676
3.468,-18674
3.472,-18674
3.476,-18674
3.480,-18674
3.484,-18674
3.488,-18674
3.492,-18674
3.496,-18674
3.500,-18674
3.504,-18674
3.508,-18693
3.512,-18693
3.516,-18693
3.520,-18693
3.524,-18693
3.528,-18693
3.532,-18693
3.536,-18693
3.540,-18693
3.544,-18710
3.548,-18710
3.552,-18710
3.556,-18710
3.560,-18710
