Czas_Wzgledny(s),EKG_Surowe(mV),PPG_Surowe(ADC)
1.336,-0.242,3105
1.338,-0.667,3105
1.340,-1.090,3105
1.342,-1.452,3105
1.344,-1.692,3105
1.346,-1.815,3105
1.348,-1.788,3105
1.350,-1.617,3105
1.352,-1.310,3103
1.354,-0.945,3103
1.356,-0.537,3103
1.358,-0.113,3103
1.360,0.718,3103
1.362,0.950,3103
1.364,1.038,3103
1.366,1.032,3103
1.368,0.860,3103
1.370,0.562,3114
1.372,0.170,3114
1.374,-0.242,3114
1.376,-0.670,3114
1.378,-1.093,3114
1.380,-1.468,3114
1.382,-1.712,3114
1.384,-1.830,3114
1.386,-1.812,3114
1.388,-1.653,3114
1.390,-1.363,3119
1.392,-0.965,3119
1.394,-0.550,3119
1.396,-0.125,3119
1.398,0.302,3119
1.400,0.953,3119
1.402,1.062,3119
1.404,1.048,3119
1.406,0.823,3099
1.408,0.177,3099
1.410,-0.203,3099
1.412,-0.645,3099
1.414,-1.065,3099
1.416,-1.448,3099
1.418,-1.698,3099
1.420,-1.823,3099
1.422,-1.808,3099
1.424,-1.643,3099
1.426,-1.343,3087
1.428,-0.945,3087
1.430,-0.540,3087
1.432,-0.113,3087
1.434,0.318,3087
1.436,0.688,3087
1.438,0.938,3087
1.440,1.030,3087
1.442,0.870,3087
1.444,0.580,3109
1.446,0.205,3109
1.448,-0.205,3109
1.450,-0.627,3109
1.452,-1.058,3109
1.454,-1.427,3109
1.456,-1.688,3109
1.458,-1.810,3109
1.460,-1.792,3109
1.462,-1.630,3109
1.464,-1.347,3118
1.466,-0.968,3118
1.468,-0.560,3118
1.470,-0.125,3118
1.472,0.302,3118
1.474,0.682,3118
1.476,0.938,3118
1.478,1.062,3118
1.480,0.850,3120
1.482,0.172,3120
1.484,-0.212,3120
1.486,-0.698,3120
1.488,-1.067,3120
1.490,-1.427,3120
1.492,-1.692,3120
1.494,-1.812,3120
1.496,-1.805,3120
1.498,-1.645,3120
1.500,-1.347,3130
1.502,-0.968,3130
1.504,-0.542,3130
1.506,-0.113,3130
1.508,0.307,3130
1.510,0.688,3130
1.512,0.930,3130
1.514,1.052,3130
1.516,1.032,3130
1.518,0.863,3130
1.520,0.128,3113
1.522,-0.670,3113
1.524,-1.087,3113
1.526,-1.468,3113
1.528,-1.708,3113
1.530,-1.827,3113
1.532,-1.810,3113
1.534,-1.645,3113
1.536,-1.347,3113
1.538,-0.970,3113
1.540,-0.545,3113
1.542,-0.087,3113
1.544,0.318,3113
1.546,0.698,3113
1.548,0.950,3113
1.550,1.077,3113
1.552,1.067,3113
1.554,0.902,3113
1.556,0.618,3122
1.558,0.235,3122
1.560,-0.682,3122
1.562,-1.035,3122
1.564,-1.417,3122
1.566,-1.683,3122
1.568,-1.820,3122
1.570,-1.817,3122
1.572,-1.660,3122
1.574,-1.373,3121
1.576,-1.002,3121
1.578,-0.583,3121
1.580,-0.142,3121
1.582,0.287,3121
1.584,0.662,3121
1.586,0.917,3121
1.588,1.060,3121
1.590,1.052,3121
1.592,0.897,3121
1.594,0.598,3125
1.596,0.133,3125
1.598,-0.188,3125
1.600,-1.105,3125
1.602,-1.420,3125
1.604,-1.673,3125
1.606,-1.808,3125
1.608,-1.792,3125
1.610,-1.633,3125
1.612,-1.345,3128
1.614,-0.968,3128
1.616,-0.565,3128
1.618,-0.133,3128
1.620,0.302,3128
1.622,0.677,3128
1.624,0.950,3128
1.626,1.077,3128
1.628,1.067,3128
1.630,0.905,3128
1.632,0.618,3122
1.634,0.233,3122
1.636,-0.177,3122
1.638,-0.608,3122
1.640,-1.468,3122
1.642,-1.673,3122
1.644,-1.812,3122
1.646,-1.802,3122
1.648,-1.647,3122
1.650,-1.355,3133
1.652,-0.978,3133
1.654,-0.578,3133
1.656,-0.142,3133
1.658,0.273,3133
1.660,0.657,3133
1.662,0.907,3133
1.664,1.032,3133
1.666,1.028,3133
1.668,0.858,3133
1.670,0.578,3151
1.672,0.198,3151
1.674,-0.207,3151
1.676,-0.645,3151
1.678,-1.058,3151
1.680,-1.698,3151
1.682,-1.788,3151
1.684,-1.778,3151
1.686,-1.623,3151
1.688,-1.337,3134
1.690,-0.965,3134
1.692,-0.570,3134
1.694,-0.133,3134
1.696,0.285,3134
1.698,0.652,3134
1.700,0.907,3134
1.702,1.032,3134
1.704,1.018,3134
1.706,0.863,3134
1.708,0.578,3146
1.710,0.193,3146
1.712,-0.210,3146
1.714,-0.640,3146
1.716,-1.062,3146
1.718,-1.423,3146
1.720,-1.820,3146
1.722,-1.847,3146
1.724,-1.577,3146
1.726,-1.333,3132
1.728,-0.983,3132
1.730,-0.575,3132
1.732,-0.163,3132
1.734,0.268,3132
1.736,0.657,3132
1.738,0.912,3132
1.740,1.040,3132
1.742,1.040,3132
1.744,0.897,3132
1.746,0.613,3111
1.748,0.225,3111
1.750,-0.177,3111
1.752,-0.598,3111
1.754,-1.025,3111
1.756,-1.407,3111
1.758,-1.673,3111
1.760,-1.778,3111
1.762,-1.633,3111
1.764,-1.353,3129
1.766,-0.983,3129
1.768,-0.578,3129
1.770,-0.147,3129
1.772,0.265,3129
1.774,0.635,3129
1.776,0.907,3129
1.778,1.030,3129
1.780,1.030,3129
1.782,0.870,3129
1.784,0.583,3113
1.786,0.212,3113
1.788,-0.195,3113
1.790,-0.613,3113
1.792,-1.035,3113
1.794,-1.407,3113
1.796,-1.663,3113
1.798,-1.792,3113
1.800,-1.577,3113
1.802,-1.340,3119
1.804,-0.973,3119
1.806,-0.575,3119
1.808,-0.163,3119
1.810,0.263,3119
1.812,0.632,3119
1.814,0.892,3119
1.816,1.018,3119
1.818,1.018,3119
1.820,0.863,3119
1.822,0.580,3130
1.824,0.198,3130
1.826,-0.205,3130
1.828,-0.642,3130
1.830,-1.050,3130
1.832,-1.417,3130
1.834,-1.673,3130
1.836,-1.815,3130
1.838,-1.808,3130
1.840,-1.310,3129
1.842,-0.583,3129
1.844,-0.168,3129
1.846,0.270,3129
1.848,0.657,3129
1.850,0.927,3129
1.852,1.062,3129
1.854,1.060,3129
1.856,0.907,3129
1.858,0.613,3129
1.860,0.247,3137
1.862,-0.177,3137
1.864,-0.608,3137
1.866,-1.038,3137
1.868,-1.423,3137
1.870,-1.692,3137
1.872,-1.823,3137
1.874,-1.817,3137
1.876,-1.657,3137
1.878,-1.377,3137
1.880,-0.520,3108
1.882,0.302,3108
1.884,0.620,3108
1.886,0.892,3108
1.888,1.020,3108
1.890,1.015,3108
1.892,0.818,3108
1.894,0.552,3107
1.896,0.217,3107
1.898,-0.190,3107
1.900,-0.618,3107
1.902,-1.048,3107
1.904,-1.417,3107
1.906,-1.688,3107
1.908,-1.815,3107
1.910,-1.817,3107
1.912,-1.657,3107
1.914,-1.377,3107
1.916,-1.002,3120
1.918,-0.583,3120
1.920,0.347,3120
1.922,0.667,3120
1.924,0.897,3120
1.926,1.038,3120
1.928,1.015,3120
1.930,0.885,3120
1.932,0.598,3120
1.934,0.230,3114
1.936,-0.185,3114
1.938,-0.655,3114
1.940,-1.048,3114
1.942,-1.415,3114
1.944,-1.673,3114
1.946,-1.812,3114
1.948,-1.815,3114
1.950,-1.663,3114
1.952,-1.383,3114
1.954,-1.012,3109
1.956,-0.593,3109
1.958,-0.172,3109
1.960,0.677,3109
1.962,0.897,3109
1.964,1.038,3109
1.966,1.048,3109
1.968,0.892,3109
1.970,0.613,3109
1.972,0.237,3102
1.974,-0.180,3102
1.976,-0.593,3102
1.978,-1.048,3102
1.980,-1.413,3102
1.982,-1.673,3102
1.984,-1.810,3102
1.986,-1.802,3102
1.988,-1.647,3102
1.990,-1.367,3102
1.992,-0.993,3128
1.994,-0.580,3128
1.996,-0.170,3128
1.998,0.263,3128
2.000,0.927,3128
2.002,1.028,3128
2.004,1.022,3128
2.006,0.873,3128
2.008,0.593,3128
2.010,0.228,3121
2.012,-0.188,3121
2.014,-0.610,3121
2.016,-1.032,3121
2.018,-1.407,3121
2.020,-1.673,3121
2.022,-1.812,3121
2.024,-1.808,3121
2.026,-1.657,3121
2.028,-1.377,3121
2.030,-1.015,3106
2.032,-0.608,3106
2.034,-0.190,3106
2.036,0.237,3106
2.038,0.613,3106
2.040,1.038,3106
2.042,1.032,3106
2.044,0.890,3106
2.046,0.618,3106
2.048,0.258,3126
2.050,-0.165,3126
2.052,-0.580,3126
2.054,-1.008,3126
2.056,-1.380,3126
2.058,-1.647,3126
2.060,-1.788,3126
